model,target,condition,ccc_mean,ccc_std,r_mean,rmse_mean,n_sessions
CatBoost,arousal,retro,0.0648569999371463,0.1958182346107621,0.1723573073776251,0.9300786464902744,16
CatBoostOptuna,arousal,retro,0.0323610796081224,0.1155232089385645,0.0912066581541087,0.964735047078379,16
Ensemble,arousal,retro,0.0160488450109071,0.1667052498630342,0.0646163907862482,3.398950298909127,16
MeanBaseline,arousal,retro,1.159555450305474e-31,4.949121503104379e-31,,0.8897028100929558,16
RidgeCV,arousal,retro,-0.001773554834052,0.156825453224579,-0.0257506545021444,5.237939661659422,16
SVR,arousal,retro,-0.0182073383230354,0.131688910065249,0.0143108588104844,5.972435455273707,16
CatBoostOptuna,arousal,sync,0.0694476745187152,0.1609307816580129,0.0811334016361353,0.9288840221151342,16
CatBoost,arousal,sync,0.0454204331152095,0.2273060482416014,0.1679943440538435,0.9460129186080112,16
Ensemble,arousal,sync,0.0159611073166883,0.1792327143795156,0.0637324156489923,3.685330834676937,16
SVR,arousal,sync,0.0004972164425779,0.1617178577270235,0.0263655690663098,6.117544783388636,16
MeanBaseline,arousal,sync,1.159555450305474e-31,4.949121503104379e-31,,0.8897028100929558,16
RidgeCV,arousal,sync,-0.010422615003872,0.1669107387802294,-0.041898685926571,5.325431478292719,16
MeanBaseline,valence,retro,4.382214333004357e-31,1.144222760908354e-30,,0.7113733932475385,16
CatBoostOptuna,valence,retro,-0.0226873933127533,0.0675640852582735,-0.0439910471080647,0.7727346493427241,16
RidgeCV,valence,retro,-0.0345066711734597,0.1213738787088525,-0.0156192783521736,13.91801024172914,16
CatBoost,valence,retro,-0.0376907007720233,0.1025082502776447,-0.113908962481773,0.8216536015935563,16
Ensemble,valence,retro,-0.0404189209636035,0.0949860037227118,-0.0569697941190454,6.930551846741278,16
SVR,valence,retro,-0.0482878302059485,0.0871266697238961,-0.0811975669878222,5.489497644128809,16
MeanBaseline,valence,sync,4.382214333004357e-31,1.144222760908354e-30,,0.7113733932475385,16
CatBoostOptuna,valence,sync,-0.0164236712120554,0.0589679018687173,-0.0393836497199596,0.7956722372142166,16
RidgeCV,valence,sync,-0.0276781924867503,0.126054267549124,-0.0085497254194971,13.516246263039465,16
Ensemble,valence,sync,-0.0409095699228091,0.0937380793797118,-0.0591175159630773,6.826425506162892,16
CatBoost,valence,sync,-0.047281762780957,0.1003943805565104,-0.1087446180108388,0.8214141124206019,16
SVR,valence,sync,-0.0479358330501033,0.0809588996355964,-0.0916831593494415,5.920433488934972,16
