model,target,cond_a,cond_b,median_delta,wilcoxon_p,signflip_p,n_sessions,comparison,family,wilcoxon_p_fdr
CatBoost,arousal,lag_0,label_ar_own,-0.41295974527588664,1.0,1.0,16,lag_0 vs label_ar_own,control,1.0
CatBoost,arousal,lag_0,label_ar_combined,-0.41993558982884993,1.0,1.0,16,lag_0 vs label_ar_combined,control,1.0
CatBoost,arousal,lag_0,random_dyad,0.0015082802700139737,0.7359161376953125,0.5368463153684632,16,lag_0 vs random_dyad,control,1.0
CatBoost,arousal,lag_0,circ_shift,0.029244399865147257,0.02532958984375,0.033996600339966,16,lag_0 vs circ_shift,control,0.303955078125
CatBoost,arousal,lag_0,own_signal,-0.08196879130301053,0.99224853515625,0.9925007499250075,16,lag_0 vs own_signal,control,1.0
CatBoost,arousal,lag_0,missingness,0.012293848740169108,0.2640838623046875,0.30146985301469853,16,lag_0 vs missingness,control,0.7922515869140625
CatBoost,valence,lag_0,label_ar_own,-0.23230657808733834,0.9985675922237551,0.9989001099890011,16,lag_0 vs label_ar_own,control,1.0
CatBoost,valence,lag_0,label_ar_combined,-0.24003547737790615,0.9985675922237551,0.9989001099890011,16,lag_0 vs label_ar_combined,control,1.0
CatBoost,valence,lag_0,random_dyad,0.01356230329780635,0.05471057940961463,0.04559544045595441,16,lag_0 vs random_dyad,control,0.3282634764576878
CatBoost,valence,lag_0,circ_shift,0.007176735271919034,0.15014493981266203,0.22287771222877711,16,lag_0 vs circ_shift,control,0.6005797592506481
CatBoost,valence,lag_0,own_signal,0.0,0.6811166505361984,0.647035296470353,16,lag_0 vs own_signal,control,1.0
CatBoost,valence,lag_0,missingness,-0.008516805294002963,0.8347321636460794,0.8393160683931606,16,lag_0 vs missingness,control,1.0
